country_name,country_code,year,births_per_1000,death_by_injury_percentage,deaths_per_1000,births_per_woman,gini_index,hospital_beds_per_1000,female_life_expectancy,male_life_expectancy,neonatal_deaths_per_1000,annual_population_growth_percentage,population_in_slums_percentage,prenatal_care_percentage
Argentina,ARG,1960,24.15,,8.65,3.14,,6.35,67.79,61.2,,,,
Antigua and Barbuda,ATG,1960,34.96,,9.15,4.6,,7.71,64.76,60.12,,,,
Bahamas,BHS,1960,37.5,,8.7,5.09,,5.73,65.38,59.43,,,,
Belize,BLZ,1960,44.55,,12.76,6.5,,4.67,59.54,55.36,,,,
Bolivia,BOL,1960,43.91,,22.7,6.27,,1.85,45.56,41.17,,,,
Brazil,BRA,1960,43.85,,13.59,6.05,,3.2,55.51,51.0,,,,
Barbados,BRB,1960,34.99,,9.22,4.71,,5.93,65.45,62.28,,,,
Chile,CHL,1960,35.31,,10.97,4.7,,3.67,59.78,54.84,,,,
Colombia,COL,1960,45.88,,11.96,6.74,,2.58,58.46,54.78,39.2,,,
Costa Rica,CRI,1960,45.47,,8.66,6.71,,4.79,64.79,62.17,30.4,,,
Cuba,CUB,1960,32.79,,8.91,4.13,,4.37,65.53,61.44,,,,
Dominica,DMA,1960,42.23,,13.27,6.18,,4.54,61.3,58.68,,,,
Dominican Republic,DOM,1960,52.02,,16.11,7.56,,2.33,53.3,50.26,,,,
Ecuador,ECU,1960,43.71,,15.31,6.72,,1.87,55.34,51.51,59.7,,,
Grenada,GRD,1960,48.76,,9.66,6.74,,6.22,64.61,61.28,,,,
Guatemala,GTM,1960,48.54,,18.84,7.0,,2.63,45.91,45.58,,,,
Guyana,GUY,1960,42.7,,11.31,6.33,,5.57,60.1,55.12,39.9,,,
Honduras,HND,1960,49.44,,19.08,7.46,,1.65,48.69,45.67,,,,
Haiti,HTI,1960,43.38,,21.25,6.18,,0.61,45.62,41.26,88.5,,,
Jamaica,JAM,1960,40.51,,9.02,5.54,,4.15,65.48,62.0,34.4,,,
St. Kitts and Nevis,KNA,1960,42.64,,14.64,6.54,,3.86,59.14,54.27,,,,
St. Lucia,LCA,1960,47.08,,12.5,6.77,,4.28,59.65,55.84,,,,
Mexico,MEX,1960,46.86,,13.99,6.76,,,55.29,51.94,51.8,,,
Nicaragua,NIC,1960,50.04,,18.81,7.16,,2.16,47.81,45.0,,,,
Panama,PAN,1960,41.06,,9.6,5.83,,3.78,61.33,59.3,40.5,,,
Peru,PER,1960,46.91,,17.14,6.94,,2.41,52.13,49.11,56.3,,,
Paraguay,PRY,1960,42.42,,10.56,6.5,,2.39,62.64,57.8,,,,
El Salvador,SLV,1960,47.02,,17.81,6.62,,2.18,50.35,46.31,,,,
Suriname,SUR,1960,44.88,,13.92,6.59,,6.51,58.68,54.81,,,,
Trinidad and Tobago,TTO,1960,37.8,,8.49,5.4,,5.59,64.14,60.99,37.9,,,
Uruguay,URY,1960,21.8,,9.77,2.83,,5.51,71.0,64.76,,,,
St. Vincent and the Grenadines,VCT,1960,49.34,,13.45,7.25,,4.82,59.46,57.58,,,,
Venezuela,VEN,1960,44.97,,10.03,6.38,,,60.4,56.52,,,,
Argentina,ARG,1961,23.86,,8.52,3.12,,,68.24,61.53,,1.66,,
Antigua and Barbuda,ATG,1961,34.96,,8.86,4.56,,,65.52,60.77,,1.67,,
Bahamas,BHS,1961,37.73,,8.46,5.16,,,65.76,59.82,,4.93,,
Belize,BLZ,1961,43.71,,15.34,6.48,,,53.69,52.23,,2.5,,
Bolivia,BOL,1961,43.88,,22.41,6.26,,,45.84,41.47,,2.04,,
Brazil,BRA,1961,43.29,,13.26,6.02,,,55.95,51.42,,3.02,,
Barbados,BRB,1961,30.98,,8.64,4.15,,,66.66,62.8,,0.97,,
Chile,CHL,1961,34.79,,10.91,4.66,,,59.96,54.85,,2.08,,
Colombia,COL,1961,45.46,,11.56,6.71,,,59.03,55.39,38.2,3.09,,
Costa Rica,CRI,1961,44.81,,8.41,6.65,,,65.11,62.62,30.1,3.73,,
Cuba,CUB,1961,33.67,,8.79,4.26,,,66.09,61.76,,2.04,,
Dominica,DMA,1961,41.82,,12.55,6.16,,,62.26,59.6,,1.4,,
Dominican Republic,DOM,1961,51.16,,15.49,7.49,,,54.07,50.98,,3.16,,
Ecuador,ECU,1961,43.54,,14.84,6.7,,,56.07,52.09,58.9,2.82,,
Grenada,GRD,1961,48.1,,9.26,6.63,,,65.08,61.64,,1.35,,
Guatemala,GTM,1961,48.02,,18.45,6.98,,,46.3,45.91,,2.97,,
Guyana,GUY,1961,42.37,,11.32,6.34,,,60.54,55.53,38.9,2.33,,
Honduras,HND,1961,49.0,,18.52,7.45,,,49.23,46.25,,2.83,,
Haiti,HTI,1961,43.2,,20.91,6.18,,,45.97,41.67,88.4,1.81,,
Jamaica,JAM,1961,40.02,,8.98,5.6,,,65.94,62.42,33.2,1.4,,
St. Kitts and Nevis,KNA,1961,40.74,,14.25,6.27,,,59.74,54.66,,-0.86,,
St. Lucia,LCA,1961,45.72,,11.79,6.84,,,61.04,56.9,,0.97,,
Mexico,MEX,1961,46.75,,13.34,6.78,,,55.89,53.0,50.2,3.12,,
Nicaragua,NIC,1961,49.34,,18.03,7.11,,,48.7,45.88,,2.99,,
Panama,PAN,1961,41.27,,9.29,5.86,,,62.08,59.84,40.0,2.96,,
Peru,PER,1961,46.61,,16.69,6.92,,,52.68,49.75,55.3,2.92,,
Paraguay,PRY,1961,42.31,,10.38,6.49,,,62.94,58.14,,2.3,,
El Salvador,SLV,1961,46.98,,17.49,6.64,,,50.73,46.62,,2.78,,
Suriname,SUR,1961,44.36,,13.71,6.58,,,59.42,55.47,,3.31,,
Trinidad and Tobago,TTO,1961,37.81,,8.25,5.4,,,64.68,61.38,37.1,2.13,,
Uruguay,URY,1961,21.81,,9.72,2.85,,,71.13,64.88,,1.26,,
St. Vincent and the Grenadines,VCT,1961,48.52,,12.9,7.16,,,60.1,58.33,,1.74,,
Venezuela,VEN,1961,44.14,,9.6,6.3,,,61.08,57.31,,3.56,,
Argentina,ARG,1962,23.75,,8.71,3.13,,,68.28,61.47,,1.66,,
Antigua and Barbuda,ATG,1962,34.91,,8.6,4.55,,,66.23,61.39,,1.4,,
Bahamas,BHS,1962,37.37,,8.2,5.12,,,66.14,60.22,,5.02,,
Belize,BLZ,1962,42.81,,11.97,6.46,,,60.72,56.86,,2.54,,
Bolivia,BOL,1962,43.86,,22.06,6.25,,,46.16,41.89,,2.06,,
Brazil,BRA,1962,42.7,,12.95,5.98,,,56.4,51.82,,2.98,,
Barbados,BRB,1962,32.08,,8.31,4.3,,,67.3,63.55,,0.89,,
Chile,CHL,1962,34.28,,10.64,4.6,,,60.5,55.31,,2.05,,
Colombia,COL,1962,44.92,,11.18,6.66,,,59.52,55.96,37.2,3.08,,
Costa Rica,CRI,1962,43.88,,8.18,6.54,,,65.58,62.9,30.2,3.67,,
Cuba,CUB,1962,34.62,,8.57,4.42,,,66.71,62.4,,2.06,,
Dominica,DMA,1962,41.17,,11.87,6.12,,,63.27,60.29,,1.22,,
Dominican Republic,DOM,1962,50.2,,14.86,7.4,,,54.84,51.71,,3.11,,
Ecuador,ECU,1962,43.39,,14.38,6.68,,,56.78,52.65,58.2,2.86,,
Grenada,GRD,1962,47.05,,8.93,6.44,,,65.35,61.77,,1.08,,
Guatemala,GTM,1962,47.39,,18.07,6.93,,,46.76,46.2,,2.96,,
Guyana,GUY,1962,41.81,,11.0,6.33,,,60.91,55.94,38.0,2.19,,
Honduras,HND,1962,48.56,,17.71,7.44,,,50.18,47.17,,2.83,,
Haiti,HTI,1962,43.01,,20.6,6.18,,,46.31,42.07,88.1,1.83,,
Jamaica,JAM,1962,39.43,,8.93,5.64,,,66.28,62.81,32.0,1.4,,
St. Kitts and Nevis,KNA,1962,38.93,,13.73,6.06,,,60.27,55.15,,-1.59,,
St. Lucia,LCA,1962,44.27,,11.22,6.82,,,61.82,57.68,,1.08,,
Mexico,MEX,1962,46.79,,12.85,6.8,,,56.54,53.63,48.8,3.22,,
Nicaragua,NIC,1962,48.92,,17.45,7.1,,,49.42,46.54,,3.0,,
Panama,PAN,1962,41.28,,9.04,5.87,,,62.65,60.29,39.3,3.01,,
Peru,PER,1962,46.22,,16.39,6.9,,,52.98,50.13,54.2,2.91,,
Paraguay,PRY,1962,42.19,,10.22,6.47,,,63.2,58.46,,2.35,,
El Salvador,SLV,1962,47.12,,17.2,6.68,,,51.13,46.94,,2.72,,
Suriname,SUR,1962,43.47,,13.43,6.57,,,60.22,56.15,,4.0,,
Trinidad and Tobago,TTO,1962,37.35,,8.09,5.36,,,65.22,61.77,36.4,1.96,,
Uruguay,URY,1962,21.83,,9.7,2.87,,,71.24,64.96,,1.21,,
St. Vincent and the Grenadines,VCT,1962,47.51,,12.28,7.03,,,60.73,58.98,,1.58,,
Venezuela,VEN,1962,43.44,,9.26,6.23,,,61.71,57.78,,3.5,,
Argentina,ARG,1963,23.5,,8.7,3.11,,,68.58,61.65,,1.64,,
Antigua and Barbuda,ATG,1963,34.87,,8.33,4.54,,,67.0,62.04,,1.39,,
Bahamas,BHS,1963,36.84,,7.97,5.06,,,66.52,60.58,,5.0,,
Belize,BLZ,1963,41.83,,11.6,6.44,,,61.18,57.55,,2.73,,
Bolivia,BOL,1963,43.82,,21.73,6.23,,,46.5,42.22,,2.09,,
Brazil,BRA,1963,42.01,,12.63,5.93,,,56.86,52.23,49.5,2.95,,
Barbados,BRB,1963,32.14,,8.12,4.3,,,67.76,64.1,,0.99,,
Chile,CHL,1963,33.7,,10.36,4.54,,,61.15,55.76,,2.02,,
Colombia,COL,1963,44.24,,10.79,6.58,,,60.04,56.56,36.2,3.05,,
Costa Rica,CRI,1963,42.72,,8.03,6.39,,,65.79,62.89,30.5,3.58,,
Cuba,CUB,1963,35.37,,8.65,4.56,,,66.52,62.5,,2.11,,
Dominica,DMA,1963,40.41,,11.32,6.08,,,64.17,60.79,,1.29,,
Dominican Republic,DOM,1963,49.18,,14.34,7.3,,,55.36,52.29,40.8,3.07,,
Ecuador,ECU,1963,43.23,,13.93,6.65,,,57.49,53.22,57.5,2.89,,
Grenada,GRD,1963,45.72,,8.67,6.2,,,65.42,61.76,,0.85,,
Guatemala,GTM,1963,46.91,,17.84,6.9,,,47.09,46.15,,2.93,,
Guyana,GUY,1963,41.31,,10.73,6.31,,,61.24,56.29,37.3,2.17,,
Honduras,HND,1963,48.19,,17.06,7.44,,,50.96,47.87,,2.84,,
Haiti,HTI,1963,42.86,,21.65,6.17,,,44.33,41.08,87.7,1.77,,
Jamaica,JAM,1963,39.24,,8.86,5.73,,,66.67,63.18,31.0,1.41,,
St. Kitts and Nevis,KNA,1963,38.78,,13.34,6.12,,,60.88,55.72,,-1.89,,
St. Lucia,LCA,1963,42.63,,10.72,6.72,,,62.44,58.38,,1.07,,
Mexico,MEX,1963,46.79,,12.46,6.82,,,57.05,54.01,47.7,3.26,,
Nicaragua,NIC,1963,48.5,,16.84,7.08,,,50.24,47.27,,3.01,,
Panama,PAN,1963,41.22,,8.85,5.86,,,63.08,60.64,38.7,3.03,,
Peru,PER,1963,45.77,,15.83,6.86,,,54.15,51.1,53.1,2.9,,
Paraguay,PRY,1963,42.07,,10.05,6.45,,,63.45,58.78,,2.44,,
El Salvador,SLV,1963,47.02,,17.04,6.69,,,51.55,47.29,,2.66,,
Suriname,SUR,1963,42.61,,12.86,6.51,,,60.86,56.48,,4.52,,
Trinidad and Tobago,TTO,1963,36.46,,8.02,5.24,,,65.44,61.95,35.7,1.87,,
Uruguay,URY,1963,21.81,,9.68,2.88,,,71.36,65.06,,1.17,,
St. Vincent and the Grenadines,VCT,1963,46.56,,11.7,6.92,,,61.35,59.52,,1.46,,
Venezuela,VEN,1963,42.72,,8.82,6.16,,,62.41,58.72,,3.45,,
Argentina,ARG,1964,23.17,,8.89,3.08,,,68.54,61.61,,1.61,,
Antigua and Barbuda,ATG,1964,34.43,,8.03,4.48,,,67.79,62.73,,1.51,,
Bahamas,BHS,1964,36.27,,7.75,4.97,,,66.93,60.95,,4.66,,
Belize,BLZ,1964,40.88,,11.26,6.42,,,61.58,58.18,,2.89,,
Bolivia,BOL,1964,43.71,,21.4,6.21,,,46.84,42.55,,2.11,,
Brazil,BRA,1964,41.0,,12.3,5.82,,,57.28,52.6,49.2,2.89,,
Barbados,BRB,1964,31.59,,7.89,4.21,,,68.14,64.73,,1.01,,
